العمل الجاد
حسنا لذلك
لذلك اريد
اريد ان
ان اعرف
اعرف المزيد
المزيد عن
عن الطرق
الطرق انا
انا مشوشه
مشوشه بج
بج قابلت
قابلت شخص
شخص يطابق
يطابق الوصف
الوصف ولكن
ولكن لا
لا الوظائف
✋🏽✋🏽✋🏽 ايقاف
ايقاف ذلك
ذلك 🚫🚫🚫
🚫🚫🚫 ح
اي انهم
انهم بالتاكيد
بالتاكيد وبقوه
وبقوه ني
ني اساسا
اساسا اري
اري وظائف
وظائف مكدسه
مكدسه مثاليه
مثاليه ولكن
ولكن الوصف
الوصف هو
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
واتفق 😎
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
اينتج في
في لكل
لكل نوع
نوع لطيف
لطيف جدا
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
قاعده اينيرليفيرس
اينيرليفيرس ✊🏽
✊🏽 ح
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
في لي
لي يقول
يقول امين
امين لهذا
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
خطط منطو
منطو في
في نهايه
نهايه الاسبوع
خطط منطو
منطو في
في نهايه
نهايه الاسبوع
اينتروفيرتس ما
ما تريد
تريد معظم
معظم من
من الاخرين
لا تتناسب
تتناسب مع
مع حجم
حجم معظم
معظم القوالب
القوالب النمطيه
النمطيه ولكن
ولكن اذا
اذا كنت
كنت اكل
اكل الطعام
الطعام من
من اصل
اصل واحد
واحد من
من بلادي
بلادي فناجين
فناجين الخزف
الخزف انا
انا سوف
سوف عقليا
عقليا قطع
قطع راس
راس لك
يتم اختبار
اختبار دقيقه
دقيقه ومفيده
ومفيده بشكل
بشكل لا
لا يصدق
يصدق القيام
القيام بذلك
بذلك اذا
اذا كنت
كنت لا
لا المهندس
حقيقيه حتي
شيء كل
كل مايرزبريغز
مايرزبريغز نوع
نوع سوف
سوف القاضي
القاضي الاخرين
الاخرين ل
ل 😒😑
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
مثل وانا
وانا الاناث
الاناث نختار
نختار انواع
انواع متشابهه
متشابهه التفكير
التفكير خلافا
خلافا لنظرائنا
لنظرائنا الذكور
التخطيط هو
هو المفتاح
المفتاح قواعد
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
عند الناس
الناس يقولون
يقولون لا
لا اريد
اريد التحدث
التحدث عن
عن هذا
هذا الامر
الامر نحن
نحن التفكير
التفكير رهيبه
رهيبه وفعلا
وفعلا تتحرك
تتحرك علي
فكرت في
في ان
ان تصبح
تصبح خبير
خبير الابوه
الابوه والامومه
والامومه ولكن
ولكن اكره
اكره الاطفال
الاطفال ناههه
ناههه لي
شكرا الشرطه
اينتروفيرتس ما
ما تريد
تريد معظم
معظم من
من الاخرين
واخيرا انا
انا يمكن
يمكن ان
ان نفخر
نفخر به
انا ولكن
ولكن قد
قد لي
لي شعور
شعور جميع
جميع انواع
انواع يشعر
يشعر المتمردين،
المتمردين، وانا
وانا احب
احب ذلك
استمتع الصمت
الصمت يشعر
يشعر الضوضاء
عندما يقول
يقول مندوب
مندوب كنت
كنت علي
علي اتصال
اتصال الوكاله
الوكاله الاكثر
الاكثر تنظيما
تنظيما ولقد
ولقد عملوا
عملوا مع
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
لماذا هو
هو كل
كل مايرزبريغز
مايرزبريغز فرعيه
فرعيه 😊👍
😊👍 فعلا
فعلا كاذبه
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
شيء كل
كل مايرزبريغز
مايرزبريغز نوع
نوع سوف
سوف القاضي
القاضي الاخرين
الاخرين ل
ل 😒😑
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
ذلك صحيح
صحيح اجد
اجد انه
انه من
من الصعب
الصعب جدا
جدا علي
علي الاسترخاء
الاسترخاء و
و لا
لا تفعل
تفعل شيئا
عندما كنت
كنت يصرخون
يصرخون لصديقك
لصديقك من
من عبر
عبر مكتبه
مكتبه وانظر
وانظر منها
منها تجميد
تجميد مثل
مثل حيوان
حيوان تصاد
انا كل
كل للمغامره
للمغامره طالما
طالما انه
انه من
من المقرر
المقرر مسبقا
مسبقا 😂
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
لماذا يمكنك
يمكنك تسويه
تسويه علي
علي يتولي
يتولي هذا
هذا البرنامج؟
البرنامج؟ كما
كما يعني
يعني هذا
هذا هيدليس
هيدليس وانا
وانا تقريبا
تقريبا نفس
نفس الشخص
هناك اي
اي شخص
شخص او
او الذي
الذي يمكن
يمكن ان
ان يفسر؟
اينتروفيرتس ما
ما تريد
تريد معظم
معظم من
من الاخرين
لطيف جدا
رسومات منطو
منطو دي
انطوائي خربشات
خربشات دي
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
قصه حقيقيه
حقيقيه كلما
كلما اقوم
اقوم بتنظيم
بتنظيم او
او تنظيف
تنظيف لدي
لدي التظاهر
التظاهر وانا
شيء كل
كل مايرزبريغز
مايرزبريغز نوع
نوع سوف
سوف القاضي
القاضي الاخرين
الاخرين ل
ل 😒😑
نورا سندس
سندس محظوظا
محظوظا ليكون
ليكون لهم
لهم ✨❤✨❤✨❤✨❤
مثل اجراء
اجراء نسخ
نسخ احتياطي
احتياطي حوالي
حوالي متر
متر لعنه
لعنه ✋🏽😒
شيء كل
كل مايرزبريغز
مايرزبريغز نوع
نوع سوف
سوف القاضي
القاضي الاخرين
الاخرين ل
ل 😒😑
طريقه واحده
واحده يمكن
يمكن ان
ان تعرف
تعرف انت
انت المهم
المهم المحادثات
المحادثات الهاتفيه
الهاتفيه الاخيره
الاخيره اكثر
اكثر من
من دقيقه
يميل لان
لان يكون
يكون متحفظا
متحفظا وهادئا،
الذكاء الاجتماعي
الاجتماعي هو
هو احد
احد اكثر
اكثر الذكائات
الذكائات جني
جني للمال
للمال وللاحترام
وللاحترام في
في مجتمعنا
مستحيل اني
اني اساله
اساله عن
عن شيء
شيء و
و يقول
يقول مادري
مادري 👏🏻💓
في الصف
الصف 😂
صحيح ٪١٠٠
الصدق بالنسبه
بالنسبه لشخصيه
لشخصيه هو
هو اكثر
اكثر اهميه
اهميه بكثير
بكثير من
من الاعتبارات
الاعتبارات العاطفيه
شخصيه تظلمها
تظلمها الكثير
الكثير من
من الناس
الناس لانهم
لانهم لا
لا يعرفونهم
يعرفونهم حق
حق المعرفه
مشاكل متوقعه
متوقعه قد
قد تقع
تقع بها
بها الشخصيات
شخصيه محافظ
محافظ كتوم
كتوم وهادئ
وهادئ تستمع
