يجري طفل
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
لا يهم
يهم حتي
حتي ولو
ولو كنت
كنت لا
لا يقرا
يقرا بشكل
بشكل جيد
ماذا لدينا
لدينا مايرزبريغز
مايرزبريغز تخبرنا
تخبرنا عن
عن انفسنا؟
انفسنا؟ وتشاطر
وتشاطر اريكا
اريكا الذين
الذين فقط
فقط اكتشفت
اكتشفت انها
كيف المستقبل
المستقبل الموجهه
الموجهه لكل
لكل نوع
نوع من
من انواع
انواع مايرزبريغز
مايرزبريغز هو
هو في
في الواقع
الواقع 😁👉
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
في بعض
بعض الاحيان
الاحيان يجب
يجب عليك
عليك ان
ان تبين
تبين لاشعار
لاشعار شيء
شيء التي
التي قد
قد ازعجت
ازعجت لك
لك خلاف
خلاف ذلك
ذلك انه
انه لن
لن لا
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
نورا سندس
سندس محظوظا
محظوظا ليكون
ليكون لهم
لهم ✨❤✨❤✨❤✨❤
من اي
اي وقت
وقت مضي
مضي يتساءل
يتساءل كيف
كيف المحجوزه
المحجوزه مدمره
مدمره جدا
جدا في
في المناقشه؟
المناقشه؟ هنا
هنا لماذا
اينتروفيرتس ما
ما تريد
تريد معظم
معظم من
من الاخرين
من اي
اي وقت
وقت مضي
مضي يتساءل
يتساءل كيف
كيف المحجوزه
المحجوزه مدمره
مدمره جدا
جدا في
في المناقشه؟
المناقشه؟ هنا
هنا لماذا
فيما يتعلق
يتعلق في
في لما
لما لم
لم يسمح
يسمح لك
لك في
في عالمهم
عالمهم الداخلي
الداخلي قد
قد فهمت
فهمت ابدا
ابدا الامهم
معظم الناس
الناس يقولون
يقولون اشياء
اشياء الكيديه
الكيديه عند
عند الغضب
الغضب عندما
عندما الغضب
الغضب انه
انه يتوقف
يتوقف عن
عن مشاعرك
مشاعرك وتل
وتل فقط
فقط رعايه
انت تعرف
تعرف انك
انك عندما
عندما تتنافس
تتنافس مع
مع شخص
شخص ليس
ليس لديه
لديه اي
اي فكره
فكره ان
ان وفي
وفي منافسه
فيما يتعلق
يتعلق في
في لما
لما لم
لم يسمح
يسمح لك
لك في
في عالمهم
عالمهم الداخلي
الداخلي قد
قد فهمت
فهمت ابدا
ابدا الامهم
يمكن ان
ان يكون
يكون نوع
نوع شخصيه
شخصيه نعم
نعم الحلو
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
الكحول هو
هو الطاقه
الطاقه المتجه
المتجه حرفيا
حرفيا في
في زجاجه
شيء عميق
عميق يمكننا
يمكننا ان
ان نتعلم
نتعلم من
من كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😆🌟
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
انا واثق
واثق من
من ان
ان يمكن
يمكن من
من التعرف
التعرف علي
علي اي
اي شيء
عبرت بي
بي تي،
تي، ومنقطه
ومنقطه بي
بي ط
ط اي
اي مسابقه
مسابقه التفكير
التفكير الشعور
الشعور وداعا
للثقه بهم
بهم الافكار
الافكار والاراء
والاراء اعلاه
اعلاه الاخرين
اعرف ان
ان اذا
اذا خسرت
خسرت ثقه
ثقه انك
انك قد
قد تحصل
تحصل عليه
عليه مره
مره اخري
ما يسكن
يسكن وراء
وراء عيون
عيون كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 👀😎
مايرزبريغز انواع
انواع اذا
اذا كانت
كانت المخلوقات
المخلوقات الاسطوريه
الاسطوريه ☺️😇
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
اذا كنت
كنت في
في علاقه
علاقه مع
مع نتوقع
نتوقع ان
ان عليك
عليك ان
ان تكون
تكون واحده
واحده تفعل
تفعل كل
كل تخطيط
اﻻنطوائيه بديهيه
الطرق التي
التي يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز الغيره
الغيره 😤😁
اكتب الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز حزينه
حزينه وكيف
وكيف يمكن
يمكن التغلب
التغلب علي
علي 😰😖
الاباء عن
عن طريق
الشعب الجديد
الجديد الم
الم لم
لم اكن
اكن اعرف
اعرف ماذا
ماذا اقول
اذا كنت
كنت اسال
اسال عن
عن اجابه
اجابه صادقه
صادقه لمساله
لمساله حساسه
حساسه وامل
وامل كنت
كنت علي
علي استعداد
استعداد للاجابه
الطابع التنافسي
التنافسي لكل
لكل مايرزبريغز
مايرزبريغز اكتب
اكتب 😤😁
انا الوحيد
الوحيد الذي
الذي يقوم
يقوم بحذف
بحذف الرسائل
الرسائل التي
التي كان
كان علي
علي وشك
وشك ارسال
ارسال الي
الي شخص
شخص ما
ما لانه
لانه يبدو
يبدو العاطفي
العاطفي جدا؟
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
معظم الناس
الناس يقولون
يقولون اشياء
اشياء الكيديه
الكيديه عند
