خطط منطو
منطو في
في نهايه
نهايه الاسبوع
هو علي
علي الارجح
الارجح من
من جميع
جميع الانواع
الانواع الي
الي التعامل
التعامل مع
مع الاجهاد
الاجهاد بممارسه
بممارسه يؤمنون
يؤمنون بالله
بالله و
و بالرضا
بالرضا الوظيفي
الوظيفي عاليه
عاطفي مثالي
كنت قد
قد شحذ
شحذ في
في وسعكم
وسعكم سوبر؟
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
ياتي في
في لي
لي اخوانه
اخوانه خارج
خارج وانا
وانا سوف
سوف التوريه
التوريه لك
من اي
اي وقت
وقت مضي
مضي يتساءل
يتساءل كيف
كيف المحجوزه
المحجوزه مدمره
مدمره جدا
جدا في
في المناقشه؟
المناقشه؟ هنا
هنا لماذا
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
من اي
اي وقت
وقت مضي
مضي يتساءل
يتساءل كيف
كيف المحجوزه
المحجوزه مدمره
مدمره جدا
جدا في
في المناقشه؟
المناقشه؟ هنا
هنا لماذا
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
حتي مع
مع ه
ه وهذا
وهذا ينطبق
ينطبق علي
علي لي
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
الكحول هو
هو الطاقه
الطاقه المتجه
المتجه حرفيا
حرفيا في
في زجاجه
مثالي الابداعيه
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
اكسترافيرتس ما
ما تريده
تريده معظم
معظم من
من الاخرين
وانا مساعده
مساعده كثير
كثير من
من الناس
الناس اليوم
اليوم 😇
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
ويقولون القلوب
القلوب في
في مصنوعه
مصنوعه من
من الذهب
الذهب ولكن
ولكن هذا
هذا امر
امر سخيف
