كيف يعالج كل
يعالج كل نوع
كل نوع مايرزبريغز
نوع مايرزبريغز العواطف
مايرزبريغز العواطف 😨😆
شباب تعويذه هنا
لماذا قد يبدو
قد يبدو ان
يبدو ان لتكون
ان لتكون متكبر
لتكون متكبر مع
متكبر مع منظمه
مع منظمه الصحه
منظمه الصحه العالميه
الصحه العالميه انها
العالميه انها مكان
انها مكان الاستراحه
مكان الاستراحه مع
يمكنك دائما بقعه
دائما بقعه انتج
بقعه انتج واسطه
انتج واسطه تبدو
واسطه تبدو علي
تبدو علي وجوههم
علي وجوههم وفي
وجوههم وفي نفس
وفي نفس الوقت
نفس الوقت مسليا
الوقت مسليا قبل
مسليا قبل وازدراء
قبل وازدراء الانسانيه
وازدراء الانسانيه في
الانسانيه في خينير
كيفيه التواصل مع
التواصل مع شخص
مع شخص ما
شخص ما لديه
ما لديه افضليات
يمكن ان يكون
ان يكون الانطواء
يكون الانطواء محادثه
الانطواء محادثه مع
محادثه مع اي
مع اي شيء
انا اسف حقا
اسف حقا لديك
حقا لديك للموت
لديك للموت –
للموت – لقد
– لقد قيل
لقد قيل هذا
قيل هذا هو
هذا هو اقتباس
هو اقتباس العلامه
اقتباس العلامه التجاريه
ياتي في لي
في لي اخوانه
لي اخوانه خارج
اخوانه خارج وانا
خارج وانا سوف
وانا سوف التوريه
سوف التوريه لك
وهذا السبب في
السبب في وفي
في وفي وكثيرا
وفي وكثيرا ما
وكثيرا ما يبدو
ما يبدو لا
يبدو لا مبالي
لا مبالي وغالبا
مبالي وغالبا ما
وغالبا ما لا
ما لا يحصلون
لا يحصلون علي
يحصلون علي الكثير
علي الكثير القيام
الكثير القيام به
وهذا ما يفسر
ما يفسر ذلك
يفسر ذلك بكثير
يقولون القلوب في
القلوب في مصنوعه
في مصنوعه من
مصنوعه من الذهب
من الذهب ولكن
الذهب ولكن هذا
ولكن هذا امر
هذا امر سخيف
امر سخيف كيندا
ازياء فرعيه يتارجح
فرعيه يتارجح بين
يتارجح بين لون
بين لون تنسيق
لون تنسيق الي
تنسيق الي القوطيه
يقولون القلوب في
القلوب في مصنوعه
في مصنوعه من
مصنوعه من الذهب
من الذهب ولكن
الذهب ولكن هذا
ولكن هذا امر
هذا امر سخيف
امر سخيف كيندا
يمكنك دائما بقعه
دائما بقعه انتج
بقعه انتج واسطه
انتج واسطه تبدو
واسطه تبدو علي
تبدو علي وجوههم
علي وجوههم وفي
وجوههم وفي نفس
وفي نفس الوقت
نفس الوقت مسليا
الوقت مسليا قبل
مسليا قبل وازدراء
قبل وازدراء الانسانيه
وازدراء الانسانيه في
الانسانيه في خينير
يمكن ان يكون
ان يكون الانطواء
يكون الانطواء محادثه
الانطواء محادثه مع
محادثه مع اي
مع اي شيء
الكحول هو الطاقه
هو الطاقه المتجه
الطاقه المتجه حرفيا
المتجه حرفيا في
حرفيا في زجاجه
اسمح لي حين
لي حين تعلن
حين تعلن الحرب
تعلن الحرب علي،
الحرب علي، وتدمر
علي، وتدمر اعدائي
شخص ما يري
ما يري ويسمع
يري ويسمع انا
ويسمع انا زقزقه
انا زقزقه لهجه
زقزقه لهجه الخاص
لهجه الخاص بك؟
وهذا السبب في
السبب في وفي
في وفي وكثيرا
وفي وكثيرا ما
وكثيرا ما يبدو
ما يبدو لا
يبدو لا مبالي
لا مبالي وغالبا
مبالي وغالبا ما
وغالبا ما لا
ما لا يحصلون
لا يحصلون علي
يحصلون علي الكثير
علي الكثير القيام
الكثير القيام به
اكسترافيرتس ما تريده
ما تريده معظم
تريده معظم من
معظم من الاخرين
حب الرفض والموتاشياء
الرفض والموتاشياء اتوقع
والموتاشياء اتوقع ابدا
اتوقع ابدا دائما
ابدا دائما صدمه،
دائما صدمه، وانا
صدمه، وانا لم
وانا لم تشتهر
لم تشتهر بي
تشتهر بي حساسيه
وهذا السبب في
السبب في وفي
في وفي وكثيرا
وفي وكثيرا ما
وكثيرا ما يبدو
ما يبدو لا
يبدو لا مبالي
لا مبالي وغالبا
مبالي وغالبا ما
وغالبا ما لا
ما لا يحصلون
لا يحصلون علي
يحصلون علي الكثير
علي الكثير القيام
الكثير القيام به
اتضح انا دينامو
انا دينامو عبقريه
دينامو عبقريه في
عبقريه في الاختبار
في الاختبار السيكولوجي
القيمه في تنوع
في تنوع فريقك
اسمح لي حين
لي حين تعلن
حين تعلن الحرب
تعلن الحرب علي،
الحرب علي، وتدمر
علي، وتدمر اعدائي
انا بحاجه الي
بحاجه الي ان
الي ان تشعر
ان تشعر بالانتاجيه
تشعر بالانتاجيه اشعر
بالانتاجيه اشعر كسول
اشعر كسول رهيب
كسول رهيب كلما
رهيب كلما انا
كلما انا لا
انا لا تعمل
ويقولون القلوب في
القلوب في مصنوعه
في مصنوعه من
مصنوعه من الذهب
من الذهب ولكن
